2024-10-09 19:01:07,116 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Configure stats pid to 53509
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Loading settings from /home/sjxu/.config/wandb/settings
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Loading settings from /sdb2/SVD_ControlNet_Relight/wandb/settings
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'train_svd.py', 'program_abspath': '/sdb2/SVD_ControlNet_Relight/train_svd.py', 'program': '/sdb2/SVD_ControlNet_Relight/train_svd.py'}
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_init.py:_log_setup():524] Logging user logs to /sdb2/SVD_ControlNet_Relight/wandb/run-20241009_190107-jh4s8fhr/logs/debug.log
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_init.py:_log_setup():525] Logging internal logs to /sdb2/SVD_ControlNet_Relight/wandb/run-20241009_190107-jh4s8fhr/logs/debug-internal.log
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_init.py:init():607] calling init triggers
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_init.py:init():657] starting backend
2024-10-09 19:01:07,117 INFO    MainThread:53509 [wandb_init.py:init():661] setting up manager
2024-10-09 19:01:07,118 INFO    MainThread:53509 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-09 19:01:07,119 INFO    MainThread:53509 [wandb_init.py:init():669] backend started and connected
2024-10-09 19:01:07,123 INFO    MainThread:53509 [wandb_init.py:init():767] updated telemetry
2024-10-09 19:01:07,174 INFO    MainThread:53509 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-10-09 19:01:07,315 INFO    MainThread:53509 [wandb_init.py:init():851] starting run threads in backend
2024-10-09 19:01:11,387 INFO    MainThread:53509 [wandb_run.py:_console_start():2463] atexit reg
2024-10-09 19:01:11,387 INFO    MainThread:53509 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-10-09 19:01:11,387 INFO    MainThread:53509 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-10-09 19:01:11,387 INFO    MainThread:53509 [wandb_run.py:_redirect():2399] Redirects installed.
2024-10-09 19:01:11,389 INFO    MainThread:53509 [wandb_init.py:init():894] run started, returning control to user process
2024-10-09 19:01:11,390 INFO    MainThread:53509 [wandb_run.py:_config_callback():1392] config_cb None None {'pretrained_model_name_or_path': 'stabilityai/stable-video-diffusion-img2vid', 'revision': None, 'num_frames': 14, 'width': 256, 'height': 256, 'num_validation_images': 1, 'validation_steps': 200, 'output_dir': 'model_out', 'seed': None, 'per_gpu_batch_size': 1, 'num_train_epochs': 1000, 'max_train_steps': 5000, 'gradient_accumulation_steps': 32, 'gradient_checkpointing': True, 'learning_rate': 2e-05, 'scale_lr': False, 'lr_scheduler': 'constant', 'lr_warmup_steps': 500, 'conditioning_dropout_prob': 0.1, 'use_8bit_adam': False, 'allow_tf32': False, 'use_ema': False, 'non_ema_revision': None, 'num_workers': 8, 'adam_beta1': 0.9, 'adam_beta2': 0.999, 'adam_weight_decay': 0.01, 'adam_epsilon': 1e-08, 'max_grad_norm': 1.0, 'push_to_hub': False, 'hub_token': None, 'hub_model_id': None, 'logging_dir': 'logs', 'mixed_precision': 'fp16', 'report_to': 'wandb', 'local_rank': 0, 'controlnet_model_name_or_path': None, 'checkpointing_steps': 2000, 'checkpoints_total_limit': 1, 'resume_from_checkpoint': None, 'enable_xformers_memory_efficient_attention': False, 'pretrain_unet': None, 'rank': 128, 'csv_path': '/sdb2/datasets/WebVid/random_split/random_split.csv', 'video_folder': '/sdb2/datasets/WebVid/random_split/img', 'condition_folder': '/sdb2/datasets/WebVid/random_split/shd', 'motion_folder': '/sdb2/datasets/WebVid/random_split/motion', 'validation_prompt': None, 'validation_image_folder': '/sdb2/SVD_ControlNet_Relight/validation_demo/img_blender_ran', 'validation_control_folder': '/sdb2/SVD_ControlNet_Relight/validation_demo/shd_blender_ran', 'sample_n_frames': 15, 'global_batch_size': 2}
